"Id_Rssd","Event Date","Historical Event"
1020180,"1943-12-16","OTTO BREMER COMPANY located at SAINT PAUL, MN was established as a Domestic Entity Other."
1020180,"1956-05-09","OTTO BREMER COMPANY changed from Domestic Entity Other to Bank Holding Company."
1020180,"1983-07-01","OTTO BREMER COMPANY was renamed to BREMER FINANCIAL CORPORATION."
1020180,"1991-06-03","BREMER FINANCIAL CORPORATION moved to 445 MINNESOTA STREET SUITE 2000 SAINT PAUL, MN."
1020180,"2014-12-15","BREMER FINANCIAL CORPORATION moved to 380 SAINT PETER STREET SUITE 500 SAINT PAUL, MN."
1020201,"1929-10-17","MARINE MIDLAND BANKS, INC. located at ONE MARINE MIDLAND CENTER, BUFFALO, NY was established as a Domestic Entity Other."
1020201,"1956-05-09","MARINE MIDLAND BANKS, INC. changed from Domestic Entity Other to Bank Holding Company."
1020201,"1995-10-01","MARINE MIDLAND BANKS, INC. was renamed to HSBC AMERICAS, INC.."
1020201,"1999-03-29","HSBC AMERICAS, INC. moved to ONE HSBC CENTER BUFFALO, NY."
1020201,"1999-06-28","HSBC AMERICAS, INC. was renamed to HSBC USA INC.."
1020201,"1999-12-31","HSBC USA INC. moved to 452 FIFTH AVENUE NEW YORK, NY."
1020201,"2000-03-13","HSBC USA INC. changed from Bank Holding Company to Financial Holding Company - Domestic."
1020395,"1973-07-04","CITIBANC GROUP, INC. located at ALEXANDER CITY, AL was established as a Bank Holding Company."
1020395,"1984-12-31","CITIBANC GROUP, INC. was renamed to SOUTHERN NATIONAL CORPORATION."
1020395,"1985-03-19","SOUTHERN NATIONAL CORPORATION moved to 225 EAST THREE NOTCH STREET ANDALUSIA, AL."
1020395,"2000-12-01","SOUTHERN NATIONAL CORPORATION changed from Bank Holding Company to Financial Holding Company - Domestic."
1020395,"2004-02-11","SOUTHERN NATIONAL CORPORATION changed from Financial Holding Company - Domestic to Bank Holding Company."
1020582,"1966-12-12","WCN BANCORP, INC. located at WISCONSIN RAPIDS, WI was established as a Domestic Entity Other."
1020582,"1970-12-31","WCN BANCORP, INC. changed from Domestic Entity Other to Bank Holding Company."
1020582,"1988-01-04","WCN BANCORP, INC. moved to 181 SECOND STREET SOUTH WISCONSIN RAPIDS, WI."
1020582,"2006-03-01","WCN BANCORP, INC. was renamed to WOODTRUST FINANCIAL CORP."
1020591,"1964-01-24","MORNINGSIDE DEVELOPMENT COMPANY located at 1901 MORNINGSIDE AVENUE, SIOUX CITY, IA was established as a Domestic Entity Other."
1020591,"1970-12-31","MORNINGSIDE DEVELOPMENT COMPANY changed from Domestic Entity Other to Bank Holding Company."
1020591,"1991-08-23","MORNINGSIDE DEVELOPMENT COMPANY was renamed to PINNACLE BANCORP, INC.."
1020667,"1963-11-06","INVESTMENT MANAGEMENT, INC. located at BETTENDORF, IA was established as a Domestic Entity Other."
1020667,"1970-12-31","INVESTMENT MANAGEMENT, INC. changed from Domestic Entity Other to Bank Holding Company."
1020667,"1976-12-31","INVESTMENT MANAGEMENT, INC. was renamed to INVESTMENT MANAGE- MENT, INC.."
1020667,"1977-12-31","INVESTMENT MANAGE- MENT, INC. was renamed to INVESTMENT MANAGEMENT INC."
1020667,"1978-06-01","INVESTMENT MANAGEMENT INC moved to DAVENPORT, IA."
1020667,"1979-08-24","INVESTMENT MANAGEMENT INC was renamed to MIDWEST BANCSHARES, INC.."
1020667,"1979-12-31","MIDWEST BANCSHARES, INC. was renamed to MIDWEST BANCSHARES INC."
1020667,"1988-07-25","MIDWEST BANCSHARES INC was renamed to NORTHWEST BANK HOLDING COMPANY and moved to 100 EAST KIMBERLY ROAD PO BOX 3973 DAVENPORT, IA."
1020667,"1998-04-01","NORTHWEST BANK HOLDING COMPANY moved to 100 EAST KIMBERLY ROAD DAVENPORT, IA and changed from Bank Holding Company to Savings & Loan Holding Company."
1020667,"2010-01-01","NORTHWEST BANK HOLDING COMPANY was renamed to NORTHWEST INVESTMENT CORP.."
1020667,"2012-09-30","NORTHWEST INVESTMENT CORP. changed from Savings & Loan Holding Company to Bank Holding Company."
1020676,"1966-09-07","AMALGAMATED INVESTMENTS COMPANY located at CHICAGO, IL was established as a Domestic Entity Other."
1020676,"1970-12-31","AMALGAMATED INVESTMENTS COMPANY changed from Domestic Entity Other to Bank Holding Company."
1020676,"1978-12-31","AMALGAMATED INVESTMENTS COMPANY was renamed to AMAGAMATED INVESTMENTS COMPANY."
1020676,"1979-12-31","AMAGAMATED INVESTMENTS COMPANY was renamed to AMALGAMATED INVESTMENTS COMPANY and moved to ONE WEST MONROE STREET CHICAGO, IL."
1020676,"2015-09-06","AMALGAMATED INVESTMENTS COMPANY moved to 30 NORTH LA SALLE STREET CHICAGO, IL."
1020854,"1968-12-27","BANK MANAGEMENT, INC. located at OMAHA, NE was established as a Bank Holding Company."
1020854,"1982-06-15","BANK MANAGEMENT, INC. moved to 201 EAST 5TH STREET WAHOO, NE."
1020902,"1969-01-29","FIRST NATIONAL OF NEBRASKA, INC. located at OMAHA, NE was established as a Bank Holding Company."
1020902,"2000-04-06","FIRST NATIONAL OF NEBRASKA, INC. changed from Bank Holding Company to Financial Holding Company - Domestic."
1020902,"2002-07-17","FIRST NATIONAL OF NEBRASKA, INC. moved to 1620 DODGE STREET OMAHA, NE."
1020920,"1969-01-02","CENTRAL TRUST COMPANY located at LANDER, WY was established as a Bank Holding Company."
1020920,"2000-05-01","CENTRAL TRUST COMPANY moved to 7001 CAHILL ROAD SUITE 11 EDINA, MN."
1020920,"2004-06-29","CENTRAL TRUST COMPANY moved to 7808 CREEKRIDGE CIRCLE SUITE 110 EDINA, MN."
1021570,"1978-10-10","VIKING CORPORATION located at DENISON, IA was established as a Bank Holding Company."
1021570,"1981-12-31","VIKING CORPORATION was renamed to VIKING CORPORATION INCORPORATED."
1021570,"1982-12-31","VIKING CORPORATION INCORPORATED was renamed to VIKING CORPORATION."
1021570,"1984-12-31","VIKING CORPORATION was renamed to VIKING CORPORATION, THE."
1021570,"1986-03-31","VIKING CORPORATION, THE moved to FIRST NATIONAL CENTER, ROOM 525 OMAHA, NE."
1021570,"2001-12-28","VIKING CORPORATION, THE moved to FIRST NATIONAL CENTER ROOM 525 OMAHA, NE."
1021570,"2003-01-27","VIKING CORPORATION, THE moved to 1620 DODGE STREET, STOP 3390 OMAHA, NE."
