Country,Region
Algeria,Africa
Egypt,Africa
Libya,Africa
Morocco,Africa
Sudan,Africa
Tunisia,Africa
Western Sahara,Africa
British Indian Ocean Territory,Africa
Burundi,Africa
Comoros,Africa
Djibouti,Africa
Eritrea,Africa
Ethiopia,Africa
French Southern Territories,Africa
Kenya,Africa
Madagascar,Africa
Malawi,Africa
Mauritius,Africa
Mayotte,Africa
Mozambique,Africa
Réunion,Africa
Rwanda,Africa
Seychelles,Africa
Somalia,Africa
South Sudan,Africa
Uganda,Africa
United Republic of Tanzania,Africa
Zambia,Africa
Zimbabwe,Africa
Angola,Africa
Cameroon,Africa
Central African Republic,Africa
Chad,Africa
Congo,Africa
Democratic Republic of the Congo,Africa
Equatorial Guinea,Africa
Gabon,Africa
Sao Tome and Principe,Africa
Botswana,Africa
Lesotho,Africa
Namibia,Africa
South Africa,Africa
Swaziland,Africa
Benin,Africa
Burkina Faso,Africa
Cabo Verde,Africa
Côte d'Ivoire,Africa
Gambia,Africa
Ghana,Africa
Guinea,Africa
Guinea-Bissau,Africa
Liberia,Africa
Mali,Africa
Mauritania,Africa
Niger,Africa
Nigeria,Africa
Saint Helena,Africa
Senegal,Africa
Sierra Leone,Africa
Togo,Africa
Anguilla,Caribbean
Antigua and Barbuda,Caribbean
Aruba,Caribbean
Bahamas,Caribbean
Barbados,Caribbean
"Bonaire, Sint Eustatius and Saba",Caribbean
British Virgin Islands,Caribbean
Cayman Islands,Caribbean
Cuba,Caribbean
Curaçao,Caribbean
Dominica,Caribbean
Dominican Republic,Caribbean
Grenada,Caribbean
Guadeloupe,Caribbean
Haiti,Caribbean
Jamaica,Caribbean
Martinique,Caribbean
Montserrat,Caribbean
Puerto Rico,Caribbean
Saint Barthélemy,Caribbean
Saint Kitts and Nevis,Caribbean
Saint Lucia,Caribbean
Saint Martin (French Part),Caribbean
Saint Vincent and the Grenadines,Caribbean
Sint Maarten (Dutch part),Caribbean
Trinidad and Tobago,Caribbean
Turks and Caicos Islands,Caribbean
United States Virgin Islands,Caribbean
Belize,Central and South America
Costa Rica,Central and South America
El Salvador,Central and South America
Guatemala,Central and South America
Honduras,Central and South America
Mexico,Central and South America
Nicaragua,Central and South America
Panama,Central and South America
Argentina,Central and South America
Bolivia (Plurinational State of),Central and South America
Bouvet Island,Central and South America
Brazil,Central and South America
Chile,Central and South America
Colombia,Central and South America
Ecuador,Central and South America
Falkland Islands (Malvinas),Central and South America
French Guiana,Central and South America
Guyana,Central and South America
Paraguay,Central and South America
Peru,Central and South America
South Georgia and the South Sandwich Islands,Central and South America
Suriname,Central and South America
Uruguay,Central and South America
Venezuela (Bolivarian Republic of),Central and South America
Bermuda,Northern America
Canada,Northern America
Greenland,Northern America
Saint Pierre and Miquelon,Northern America
United States of America,Northern America
Kazakhstan,Central Asia
Kyrgyzstan,Central Asia
Tajikistan,Central Asia
Turkmenistan,Central Asia
Uzbekistan,Central Asia
China,East Asia
"China, Hong Kong Special Administrative Region",East Asia
"China, Macao Special Administrative Region",East Asia
Democratic People's Republic of Korea,East Asia
Japan,East Asia
Mongolia,East Asia
Republic of Korea,East Asia
Brunei Darussalam,Southeast Asia and Oceania
Cambodia,Southeast Asia and Oceania
Indonesia,Southeast Asia and Oceania
Lao People's Democratic Republic,Southeast Asia and Oceania
Malaysia,Southeast Asia and Oceania
Myanmar,Southeast Asia and Oceania
Philippines,Southeast Asia and Oceania
Singapore,Southeast Asia and Oceania
Thailand,Southeast Asia and Oceania
Timor-Leste,Southeast Asia and Oceania
Viet Nam,Southeast Asia and Oceania
Afghanistan,South Asia
Bangladesh,South Asia
Bhutan,South Asia
India,South Asia
Iran (Islamic Republic of),South Asia
Maldives,South Asia
Nepal,South Asia
Pakistan,South Asia
Sri Lanka,South Asia
Armenia,Middle East
Azerbaijan,Middle East
Bahrain,Middle East
Cyprus,Middle East
Georgia,Middle East
Iraq,Middle East
Israel,Middle East
Jordan,Middle East
Kuwait,Middle East
Lebanon,Middle East
Oman,Middle East
Qatar,Middle East
Saudi Arabia,Middle East
State of Palestine,Middle East
Syrian Arab Republic,Middle East
Turkey,Middle East
United Arab Emirates,Middle East
Yemen,Middle East
Belarus,Europe
Bulgaria,Europe
Czechia,Europe
Hungary,Europe
Poland,Europe
Republic of Moldova,Europe
Romania,Europe
Russian Federation,Europe
Slovakia,Europe
Ukraine,Europe
Åland Islands,Europe
Guernsey,Europe
Jersey,Europe
Sark,Europe
Denmark,Europe
Estonia,Europe
Faroe Islands,Europe
Finland,Europe
Iceland,Europe
Ireland,Europe
Isle of Man,Europe
Latvia,Europe
Lithuania,Europe
Norway,Europe
Svalbard and Jan Mayen Islands,Europe
Sweden,Europe
United Kingdom of Great Britain and Northern Ireland,Europe
Albania,Europe
Andorra,Europe
Bosnia and Herzegovina,Europe
Croatia,Europe
Gibraltar,Europe
Greece,Europe
Holy See,Europe
Italy,Europe
Malta,Europe
Montenegro,Europe
Portugal,Europe
San Marino,Europe
Serbia,Europe
Slovenia,Europe
Spain,Europe
The former Yugoslav Republic of Macedonia,Europe
Austria,Europe
Belgium,Europe
France,Europe
Germany,Europe
Liechtenstein,Europe
Luxembourg,Europe
Monaco,Europe
Netherlands,Europe
Switzerland,Europe
Australia,Southeast Asia and Oceania
Christmas Island,Southeast Asia and Oceania
Cocos (Keeling) Islands,Southeast Asia and Oceania
Heard Island and McDonald Islands,Southeast Asia and Oceania
New Zealand,Southeast Asia and Oceania
Norfolk Island,Southeast Asia and Oceania
Fiji,Southeast Asia and Oceania
New Caledonia,Southeast Asia and Oceania
Papua New Guinea,Southeast Asia and Oceania
Solomon Islands,Southeast Asia and Oceania
Vanuatu,Southeast Asia and Oceania
Guam,Southeast Asia and Oceania
Kiribati,Southeast Asia and Oceania
Marshall Islands,Southeast Asia and Oceania
Micronesia (Federated States of),Southeast Asia and Oceania
Nauru,Southeast Asia and Oceania
Northern Mariana Islands,Southeast Asia and Oceania
Palau,Southeast Asia and Oceania
United States Minor Outlying Islands,Southeast Asia and Oceania
American Samoa,Southeast Asia and Oceania
Cook Islands,Southeast Asia and Oceania
French Polynesia,Southeast Asia and Oceania
Niue,Southeast Asia and Oceania
Pitcairn,Southeast Asia and Oceania
Samoa,Southeast Asia and Oceania
Tokelau,Southeast Asia and Oceania
Tonga,Southeast Asia and Oceania
Tuvalu,Southeast Asia and Oceania
Wallis and Futuna Islands,Southeast Asia and Oceania
USA,Northern America
UK,Europe
Hong Kong,East Asia
Russia,Europe
Taiwan,East Asia
South Korea,East Asia
The Bahamas,Caribbean
Venezuela,Central and South America
Tanzania,Africa
Vietnam,Southeast Asia and Oceania
Dubai - United Arab Emirates,Middle East
Riyadh Saudi Arabia,Middle East
RMI,Southeast Asia and Oceania
CuraÃ§ao,Caribbean
Brunei,Southeast Asia and Oceania
CÃ´te d'Ivoire,Africa
