Id_Rssd,Region,N,asOfDate
1026632,Northern America,35,2016-12-28
1026632,Europe,2,2016-12-28
1026632,Southeast Asia and Oceania,8,2016-12-28
1026632,East Asia,1,2016-12-28
1037003,Northern America,37,2016-12-28
1037003,Europe,10,2016-12-28
1039502,Northern America,1352,2016-12-28
1039502,East Asia,35,2016-12-28
1039502,Europe,269,2016-12-28
1039502,Southeast Asia and Oceania,53,2016-12-28
1039502,Central and South America,30,2016-12-28
1039502,South Asia,11,2016-12-28
1039502,Africa,36,2016-12-28
1039502,Caribbean,104,2016-12-28
1039502,Middle East,3,2016-12-28
1068025,Northern America,89,2016-12-28
1068025,Southeast Asia and Oceania,1,2016-12-28
1068025,Europe,11,2016-12-28
1068191,Northern America,102,2016-12-28
1069778,Northern America,687,2016-12-28
1069778,Central and South America,12,2016-12-28
1069778,East Asia,12,2016-12-28
1069778,Europe,70,2016-12-28
1069778,Southeast Asia and Oceania,6,2016-12-28
1069778,South Asia,3,2016-12-28
1069778,Caribbean,36,2016-12-28
1069778,Middle East,1,2016-12-28
1070345,Northern America,936,2016-12-28
1070345,East Asia,1,2016-12-28
1070345,Africa,1,2016-12-28
1070345,South Asia,1,2016-12-28
1070345,Southeast Asia and Oceania,1,2016-12-28
1073757,Northern America,1188,2016-12-28
1073757,Europe,148,2016-12-28
1073757,Central and South America,24,2016-12-28
1073757,East Asia,18,2016-12-28
1073757,Southeast Asia and Oceania,27,2016-12-28
1073757,Caribbean,20,2016-12-28
1073757,South Asia,4,2016-12-28
1073757,Africa,6,2016-12-28
1073757,Middle East,4,2016-12-28
1074156,Northern America,894,2016-12-28
1074156,Central and South America,1,2016-12-28
1074156,Southeast Asia and Oceania,1,2016-12-28
1074156,Caribbean,1,2016-12-28
1111435,Northern America,81,2016-12-28
1111435,Europe,76,2016-12-28
1111435,Southeast Asia and Oceania,14,2016-12-28
1111435,East Asia,13,2016-12-28
1111435,Caribbean,9,2016-12-28
1111435,Africa,3,2016-12-28
1111435,South Asia,5,2016-12-28
1113514,Northern America,206,1998-12-31
1113514,Europe,1,1998-12-31
1119794,Northern America,81,2016-12-28
1119794,Europe,9,2016-12-28
1119794,Caribbean,2,2016-12-28
1119794,Central and South America,4,2016-12-28
1120754,Northern America,648,2016-12-28
1120754,Caribbean,52,2016-12-28
1120754,Europe,37,2016-12-28
1120754,East Asia,6,2016-12-28
1120754,South Asia,4,2016-12-28
1120754,Central and South America,2,2016-12-28
1120754,Southeast Asia and Oceania,2,2016-12-28
1120754,Africa,6,2016-12-28
1120754,Middle East,1,2016-12-28
1131787,Northern America,71,2016-12-28
1131787,Caribbean,1,2016-12-28
1131787,South Asia,1,2016-12-28
1132449,Northern America,41,2016-12-28
1199611,Northern America,19,2016-12-28
1199611,Caribbean,2,2016-12-28
1199611,East Asia,2,2016-12-28
1199611,Europe,34,2016-12-28
1199611,Middle East,1,2016-12-28
1199611,South Asia,1,2016-12-28
1199611,Southeast Asia and Oceania,2,2016-12-28
1245415,Northern America,40,2016-12-28
1245415,East Asia,1,2016-12-28
1275216,Northern America,251,2016-12-28
1275216,Europe,84,2016-12-28
1275216,Caribbean,3,2016-12-28
1275216,Central and South America,16,2016-12-28
1275216,East Asia,23,2016-12-28
1275216,Southeast Asia and Oceania,12,2016-12-28
1275216,South Asia,5,2016-12-28
1275216,Middle East,3,2016-12-28
1275216,Africa,2,2016-12-28
1378434,Northern America,246,2016-12-28
1378434,Southeast Asia and Oceania,1,2016-12-28
1447376,Northern America,664,2016-12-28
1447376,Europe,18,2016-12-28
1562859,Northern America,66,2016-12-28
1562859,Europe,7,2016-12-28
1562859,Central and South America,2,2016-12-28
1562859,South Asia,1,2016-12-28
1574834,Northern America,515,2016-12-28
1574834,Caribbean,8,2016-12-28
1574834,Africa,1,2016-12-28
1574834,Europe,1,2016-12-28
1575569,Northern America,82,2016-12-28
