Id_Rssd,Type,N,asOfDate
1026632,Savings & Loan Holding Company,1,2016-12-28
1026632,Domestic Entity Other,28,2016-12-28
1026632,Securities Broker/Dealer,2,2016-12-28
1026632,Foreign Entity Other,11,2016-12-28
1026632,Data Processing Servicer,3,2016-12-28
1026632,Savings & Loan Association,1,2016-12-28
1037003,Financial Holding Company - Domestic,2,2016-12-28
1037003,Domestic Entity Other,32,2016-12-28
1037003,State Member Bank,1,2016-12-28
1037003,Securities Broker/Dealer,1,2016-12-28
1037003,National Bank,1,2016-12-28
1037003,International Nonbank Sub of Domestic Entities,10,2016-12-28
1039502,Financial Holding Company - Domestic,2,2016-12-28
1039502,National Bank,2,2016-12-28
1039502,Domestic Entity Other,1302,2016-12-28
1039502,International Nonbank Sub of Domestic Entities,551,2016-12-28
1039502,Data Processing Servicer,4,2016-12-28
1039502,Edge Corporation - Investment,3,2016-12-28
1039502,International Bank of U.S. Depository - Edge or Trust Co.,10,2016-12-28
1039502,Securities Broker/Dealer,6,2016-12-28
1039502,Finance Company,7,2016-12-28
1039502,Foreign Entity Other,3,2016-12-28
1039502,Bank Holding Company,1,2016-12-28
1039502,State Member Bank,1,2016-12-28
1039502,Non-deposit Trust Company - Non- member,1,2016-12-28
1068025,Financial Holding Company - Domestic,1,2016-12-28
1068025,National Bank,1,2016-12-28
1068025,Domestic Entity Other,76,2016-12-28
1068025,Finance Company,18,2016-12-28
1068025,Agreement Corporation - Investment,1,2016-12-28
1068025,Data Processing Servicer,1,2016-12-28
1068025,Non-deposit Trust Company - Member,1,2016-12-28
1068025,Securities Broker/Dealer,1,2016-12-28
1068025,International Nonbank Sub of Domestic Entities,1,2016-12-28
1068191,Financial Holding Company - Domestic,1,2016-12-28
1068191,National Bank,1,2016-12-28
1068191,Domestic Entity Other,90,2016-12-28
1068191,Finance Company,7,2016-12-28
1068191,Agreement Corporation - Investment,1,2016-12-28
1068191,International Nonbank Sub of Domestic Entities,1,2016-12-28
1068191,Securities Broker/Dealer,1,2016-12-28
1069778,Financial Holding Company - Domestic,1,2016-12-28
1069778,Bank Holding Company,1,2016-12-28
1069778,National Bank,1,2016-12-28
1069778,Edge Corporation - Investment,1,2016-12-28
1069778,International Nonbank Sub of Domestic Entities,157,2016-12-28
