Rank,Institution Name (RSSD ID),Location,12/31/2016 Total Assets
1,JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY","$2,490,972,000 "
2,BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC","$2,189,266,000 "
3,WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA","$1,930,115,000 "
4,CITIGROUP INC. (1951350),"NEW YORK, NY","$1,792,077,000 "
5,"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$860,185,000 "
6,MORGAN STANLEY (2162966),"NEW YORK, NY","$814,949,000 "
7,U.S. BANCORP (1119794),"MINNEAPOLIS, MN","$445,964,000 "
8,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$366,872,249 "
9,CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA","$357,158,294 "
10,TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE","$343,933,415 "
11,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$333,469,000 "
12,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY","$282,442,386 "
13,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY","$277,782,846 "
14,STATE STREET CORPORATION (1111435),"BOSTON, MA","$242,709,356 "
15,"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$223,383,000 "
16,BB&T CORPORATION (1074156),"WINSTON SALEM, NC","$219,276,323 "
17,"CREDIT SUISSE HOLDINGS (USA), INC. (1574834)","NEW YORK, NY","$214,111,048 "
18,"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$205,214,392 "
19,BARCLAYS US LLC (5006575),"NEW YORK, NY","$204,485,000 "
20,DB USA CORPORATION (2816906),"NEW YORK, NY","$186,603,000 "
21,ALLY FINANCIAL INC. (1562859),"DETROIT, MI","$163,728,000 "
22,AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY","$158,885,000 "
23,"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$150,022,885 "
24,MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY","$148,143,603 "
25,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL","$147,697,211 "
26,UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX","$147,518,802 "
27,FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH","$142,176,830 "
28,RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY","$141,916,551 "
29,UBS AMERICAS HOLDING LLC (4846998),"NEW YORK, NY","$138,740,719 "
30,"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$137,367,041 "
31,KEYCORP (1068025),"CLEVELAND, OH","$136,825,848 "
32,"BNP PARIBAS USA, INC. (1575569)","NEW YORK, NY","$132,520,732 "
33,BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE","$128,088,921 "
34,REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL","$126,193,957 "
35,NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL","$123,926,854 "
36,M&T BANK CORPORATION (1037003),"BUFFALO, NY","$123,449,206 "
37,HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH","$99,714,097 "
38,DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL","$92,307,686 "
39,SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT","$90,244,879 "
40,"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$87,079,953 "
