Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,"PNC FINANCIAL SERVICES GROUP, INC., THE",1069778,,PITTSBURGH PA,Financial Holding Company - Domestic,1,"Pittsburgh, PA",40.4406248,-79.9958864
2,,"PNC BANCORP, INC.",1469314,1,WILMINGTON DE,Bank Holding Company,2,"Wilmington, DE",39.7390721,-75.5397878
3,,"PNC BANK, NATIONAL ASSOCIATION",817824,2,WILMINGTON DE,National Bank,3,"Wilmington, DE",39.7390721,-75.5397878
4,,PNC BANK INTERNATIONAL,604725,3,WILMINGTON DE,Edge Corporation - Investment,4,"Wilmington, DE",39.7390721,-75.5397878
5,,"FIRST COMERCIO, PARTICIPACOES E SERVICOS LTDA.",1667361,4,SAO PAULO BRAZIL,International Nonbank Sub of Domestic Entities,5,"São Paulo, Brazil",-23.5505199,-46.6333094
6,,PNC TRADE SERVICES LIMITED,2516457,4,KOWLOON HONG KONG,International Nonbank Sub of Domestic Entities,5,"Kowloon, Hong Kong",22.3185673,114.1796057
7,,"PNC FINANCIAL SERVICES HOLDING LUXEMBOURG S.A.R.L., THE",4228987,4,LUXEMBOURG LUXEMBOUR G,International Nonbank Sub of Domestic Entities,5,"Luxembourg City, Luxembourg",49.611621,6.1319346
8,,PNC FINANCIAL SERVICES UK LTD,4229005,7,WEST SUSSEX UNITED KINGDOM,Finance Company,6,"West Sussex, UK",50.9280143,-0.4617075
9,,PNC COMMUNITY DEVELOPMENT CORPORATION,1468885,3,LOUISVILLE KY,Domestic Entity Other,4,"Louisville, KY",38.2526647,-85.7584557
10,,"ST. FRANCIS EQUITY PROPERTIES, LLC",2285669,3,BROOKFIELD WI,Domestic Entity Other,4,"Brookfield, WI",43.0605671,-88.1064787
11,,"CLARE HEIGHTS, LLC",3634910,10,VERONA WI,Domestic Entity Other,5,"Verona, WI",42.990831,-89.5331773
12,,"MEQUAN SENIOR HOUSING, LLC",3634947,10,CEDARBURG WI,Domestic Entity Other,5,"Cedarburg, WI",43.2966716,-87.9875898
13,,"PNC ALLIANCE, LLC",2464370,3,PITTSBURGH PA,Domestic Entity Other,4,"Pittsburgh, PA",40.4406248,-79.9958864
14,,PNC MERCHANT SERVICES COMPANY,2406147,13,MELVILLE NY,Domestic Entity Other,5,"Melville, NY",40.7934322,-73.4151214
15,,PROCUREMENT ALTERNATIVES CORPORATION,2511948,3,CINCINNATI OH,Domestic Entity Other,4,"Cincinnati, OH",39.1031182,-84.5120196
16,,PNC MORTGAGE ACCEPTANCE CORP,2726902,3,KANSAS CITY MO,Domestic Entity Other,4,"Kansas City, MO",39.0997265,-94.5785667
17,,"PNC AFFORDABLE HOUSING, INC.",2747662,3,WILMINGTON DE,Domestic Entity Other,4,"Wilmington, DE",39.7390721,-75.5397878
18,,COLUMBIA HOUSING SLP CORPORATION,2821160,17,PORTLAND OR,Domestic Entity Other,5,"Portland, OR",45.5230622,-122.6764816
19,,COLUMBIA HOUSING PINE RIDGE SLP CORPORATION,2821179,17,PORTLAND OR,Domestic Entity Other,5,"Portland, OR",45.5230622,-122.6764816
20,,"ARCAND GP, INC.",2821188,17,PORTLAND OR,Domestic Entity Other,5,"Portland, OR",45.5230622,-122.6764816
21,,"CHTC 1, INC.",2821218,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
22,,"COLUMBIA GP HOLDING, INC.",2821656,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
23,,"HAWTHORNE VILLA GP, INC.",2821683,22,PORTLAND OR,Domestic Entity Other,7,"Portland, OR",45.5230622,-122.6764816
24,,"CHA CORPORATE FUND V, INC.",2821713,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
25,,"CHA CORPORATE FUND VI, INC.",2822831,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
26,,"COLUMBIA HOUSING/PNC FUND I, INC.",2901754,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
27,,"CHA PROPRIETARY FUND I GP, INC.",2901763,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
28,,"COLUMBIA HOUSING/PNC FUND VI, INC.",2902582,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
29,,"COLUMBIA HOUSING/PNC FUND III, INC.",2903413,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
30,,"COLUMBIA HOUSING/PNC FUND II, INC.",2904009,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
31,,"COLUMBIA HOUSING/PNC FUND IV, INC.",3011847,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
32,,"COLUMBIA HOUSING/PNC FUND V, INC.",3011977,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
33,,"COLUMBIA HOUSING/PNC FUND VII, INC.",3012367,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
34,,"COLUMBIA HOUSING/PNC FUND VIII, INC.",3013805,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
35,,"COLUMBIA HOUSING/PNC FUND IX, INC.",3013850,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
36,,"COLUMBIA HOUSING/PNC FUND X, INC.",3013878,20,PORTLAND OR,Domestic Entity Other,6,"Portland, OR",45.5230622,-122.6764816
