"ID_RSSD","ENTITY_TYPE","NAME","CITY","ST/COUNTRY","DATE_OPEN","NAME_END_DATE","REGULATORY_DISTRICT"
4459820,"BHC","1854 BANCORP","CAMBRIDGE","MA",20130330,,"Boston"
2252858,"BHC","1855 BANCORP, THE","NEW BEDFORD","MA",19941001,19980827,"Boston"
1399765,"BHC","1867 WESTERN FINANCIAL CORPORATION","STOCKTON","CA",19891002,,"San Francisco"
3960897,"BHC","1889 BANCORP MHC","NORWOOD","MA",20100331,,"Boston"
2090751,"BHC","1889 BANCSHARES, INC.","NEVADA","MO",19931216,,"Kansas City"
1249253,"BHC","1889 BANKCORP","EAST LANSING","MI",19880727,19931014,"Chicago"
3960918,"BHC","1889 FINANCIAL SERVICES CORPORATION","NORWOOD","MA",20100331,,"Boston"
3535455,"BHC","1895 CORPORATION","WORCESTER","MA",20070501,,"Boston"
3535437,"BHC","1895 MHC","WORCESTER","MA",20070501,,"Boston"
3865152,"SLHC","1980 LIFETIME TRUST","OAKS","PA",20000713,20131113,"Philadelphia"
3865161,"SLHC","1980 MINORITY TRUSTS","OAKS","PA",20000713,20131113,"Philadelphia"
3370517,"BHC","1ST ADVANTAGE BANCSHARES, INC.","SAINT PETERS","MO",20051101,,"St. Louis"
1866146,"BHC","1ST AMBANC, INC.","DESTIN","FL",19910607,19910831,"Atlanta"
1246560,"BHC","1ST AMERICAN BANCORP, INC.","BOSTON","MA",19871221,19901019,"Boston"
1137024,"BHC","1ST BANCORP VIENNA","VIENNA","IL",19860826,19980930,"St. Louis"
1201064,"BHC","1ST BROOKFIELD, INC.","BROOKFIELD","IL",19690415,20150702,"Chicago"
1916706,"BHC","1ST BROOKFIELD, INC. EMPLOYEE STOCK OWNERSHIP PLAN TRUST","BROOKFIELD","IL",19910930,20150702,"Chicago"
1030161,"BHC","1ST BUSINESS CORPORATION","LOS ANGELES","CA",19820921,19980216,"San Francisco"
3836899,"SLHC","1ST CAPITAL HOLDING CORP.","SEA ISLE CITY","NJ",20040123,,"Philadelphia"
2847357,"BHC","1ST CENTENNIAL BANCORP","REDLANDS","CA",19991223,20090123,"San Francisco"
3602236,"BHC","1ST CENTURY BANCSHARES, INC.","LOS ANGELES","CA",20071220,20160630,"San Francisco"
2995883,"BHC","1ST CHOICE BANCORP OF DELAWARE, INC.","DOVER","DE",20010611,20080522,"Dallas"
2995874,"BHC","1ST CHOICE BANCORP, INC.","HOUSTON","TX",20010611,20080531,"Dallas"
2397526,"BHC","1ST CHOICE FINANCIAL CORP.","MINNEAPOLIS","MN",19960410,20021215,"San Francisco"
2397526,"BHC","1ST CHOICE FINANCIAL CORPORATION","GREELEY","CO",19960410,20000612,"Kansas City"
