"Id_Rssd","Activity"
1026632,"OFFICES OF OTHER HOLDING COMPANIES"
3150447,"SAVINGS INSTITUTIONS"
1037003,"OFFICES OF BANK HOLDING COMPANIES"
3940714,"OFFICES OF BANK HOLDING COMPANIES"
501105,"COMMERCIAL BANKING"
2265456,"COMMERCIAL BANKING"
3404533,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1039502,"OFFICES OF BANK HOLDING COMPANIES"
852218,"COMMERCIAL BANKING"
830319,"INTERNATIONAL TRADE FINANCING"
840242,"INTERNATIONAL TRADE FINANCING"
906915,"INTERNATIONAL TRADE FINANCING"
1170795,"COMMERCIAL BANKING"
1170825,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1170889,"COMMERCIAL BANKING"
2038267,"COMMERCIAL BANKING"
2913654,"COMMERCIAL BANKING"
2258533,"COMMERCIAL BANKING"
1607004,"COMMERCIAL BANKING"
1174533,"COMMERCIAL BANKING"
1181429,"COMMERCIAL BANKING"
1183414,"COMMERCIAL BANKING"
2095185,"COMMERCIAL BANKING"
2181202,"COMMERCIAL BANKING"
2258506,"COMMERCIAL BANKING"
2142771,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2742032,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1170834,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1175361,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2931443,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
5064641,"OFFICES OF BANK HOLDING COMPANIES"
651448,"COMMERCIAL BANKING"
1832132,"OFFICES OF BANK HOLDING COMPANIES"
489913,"COMMERCIAL BANKING"
2181444,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1068025,"OFFICES OF BANK HOLDING COMPANIES"
280110,"COMMERCIAL BANKING"
2599601,"INTERNATIONAL TRADE FINANCING"
4368351,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1068191,"OFFICES OF BANK HOLDING COMPANIES"
12311,"COMMERCIAL BANKING"
2500447,"INTERNATIONAL TRADE FINANCING"
4458195,"ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION"
1069778,"OFFICES OF BANK HOLDING COMPANIES"
1469314,"OFFICES OF BANK HOLDING COMPANIES"
817824,"COMMERCIAL BANKING"
604725,"INTERNATIONAL TRADE FINANCING"
2851804,"INTERNATIONAL TRADE FINANCING"
3159329,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
4165765,"INTERNATIONAL TRADE FINANCING"
4937243,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1444021,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1070345,"OFFICES OF BANK HOLDING COMPANIES"
2990244,"OFFICES OF BANK HOLDING COMPANIES"
723112,"COMMERCIAL BANKING"
2235440,"INTERNATIONAL TRADE FINANCING"
1073757,"OFFICES OF BANK HOLDING COMPANIES"
2173092,"OFFICES OF BANK HOLDING COMPANIES"
1379552,"OFFICES OF BANK HOLDING COMPANIES"
1199769,"OFFICES OF BANK HOLDING COMPANIES"
480228,"COMMERCIAL BANKING"
591900,"INTERNATIONAL TRADE FINANCING"
783871,"INTERNATIONAL TRADE FINANCING"
2288129,"COMMERCIAL BANKING"
2337362,"COMMERCIAL BANKING"
2895424,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3313943,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2618061,"COMMERCIAL BANKING"
1443266,"COMMERCIAL BANKING"
1986129,"COMMERCIAL BANKING"
3829060,"COMMERCIAL BANKING"
1983623,"COMMERCIAL BANKING"
1074156,"OFFICES OF BANK HOLDING COMPANIES"
852320,"COMMERCIAL BANKING"
1111435,"OFFICES OF BANK HOLDING COMPANIES"
35301,"COMMERCIAL BANKING"
93619,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
348104,"INTERNATIONAL TRADE FINANCING"
1930010,"COMMERCIAL BANKING"
1939648,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1174300,"COMMERCIAL BANKING"
1840098,"COMMERCIAL BANKING"
1172025,"COMMERCIAL BANKING"
812164,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1865091,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2623627,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1119794,"OFFICES OF BANK HOLDING COMPANIES"
504713,"COMMERCIAL BANKING"
2667920,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2916963,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3050369,"INTERNATIONAL TRADE FINANCING"
3549331,"COMMERCIAL BANKING"
3277148,"INTERNATIONAL TRADE FINANCING"
2567123,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1120754,"OFFICES OF BANK HOLDING COMPANIES"
2741679,"OFFICES OF BANK HOLDING COMPANIES"
167565,"COMMERCIAL BANKING"
451965,"COMMERCIAL BANKING"
24837,"INTERNATIONAL TRADE FINANCING"
1242535,"COMMERCIAL BANKING"
2531991,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3606177,"COMMERCIAL BANKING"
3385968,"INTERNATIONAL TRADE FINANCING"
688079,"COMMERCIAL BANKING"
1225761,"COMMERCIAL BANKING"
2362458,"COMMERCIAL BANKING"
1131787,"OFFICES OF BANK HOLDING COMPANIES"
1077120,"OFFICES OF BANK HOLDING COMPANIES"
675332,"COMMERCIAL BANKING"
2654014,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
2864774,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1132449,"OFFICES OF BANK HOLDING COMPANIES"
3303298,"COMMERCIAL BANKING"
3041974,"COMMERCIAL BANKING"
1199611,"OFFICES OF BANK HOLDING COMPANIES"
210434,"COMMERCIAL BANKING"
909514,"INTERNATIONAL TRADE FINANCING"
2056506,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3349175,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3348918,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1422980,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1927720,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3240227,"COMMERCIAL BANKING"
3349166,"COMMERCIAL BANKING"
4597740,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
4724452,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3403170,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1245415,"OFFICES OF BANK HOLDING COMPANIES"
75633,"COMMERCIAL BANKING"
3353154,"COMMERCIAL BANKING"
4420932,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1275216,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES"
3793536,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES"
1394676,"COMMERCIAL BANKING"
2966306,"SAVINGS INSTITUTIONS"
3939352,"COMMERCIAL BANKING"
3939512,"COMMERCIAL BANKING"
1378434,"OFFICES OF BANK HOLDING COMPANIES"
212465,"COMMERCIAL BANKING"
2333131,"OFFICES OF BANK HOLDING COMPANIES"
1447376,"DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS"
1447385,"OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION"
619877,"SAVINGS INSTITUTIONS"
2502656,"OTHER DEPOSITORY CREDIT INTERMEDIATION"
1562859,"SALES FINANCING"
3867147,"OFFICES OF BANK HOLDING COMPANIES"
3284070,"COMMERCIAL BANKING"
1574834,"OTHER NONDEPOSITORY CREDIT INTERMEDIATION"
1575569,"OFFICES OF BANK HOLDING COMPANIES"
5005998,"OFFICES OF BANK HOLDING COMPANIES"
1025608,"OFFICES OF BANK HOLDING COMPANIES"
980661,"COMMERCIAL BANKING"
4989420,"OFFICES OF BANK HOLDING COMPANIES"
804963,"COMMERCIAL BANKING"
3343306,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1607170,"DIRECT LIFE INSURANCE CARRIERS"
3910913,"OFFICES OF OTHER HOLDING COMPANIES"
2716547,"SAVINGS INSTITUTIONS"
1951350,"OFFICES OF BANK HOLDING COMPANIES"
1170393,"COMMERCIAL BANKING"
4837530,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
1239629,"COMMERCIAL BANKING"
3367115,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
3080535,"OFFICES OF BANK HOLDING COMPANIES"
2494836,"COMMERCIAL BANKING"
3375352,"OFFICES OF BANK HOLDING COMPANIES"
3074664,"OFFICES OF BANK HOLDING COMPANIES"
1021628,"OFFICES OF BANK HOLDING COMPANIES"
750864,"COMMERCIAL BANKING"
3375370,"OFFICES OF BANK HOLDING COMPANIES"
476810,"COMMERCIAL BANKING"
449038,"TRUST, FIDUCIARY, AND CUSTODY ACTIVITIES"
938019,"INTERNATIONAL TRADE FINANCING"
1173545,"COMMERCIAL BANKING"
3574463,"COMMERCIAL BANKING"
